User_ID,Session_ID,Device_ID,App_Version,Event_Name,Event_Time,Pickup_Location,Dropoff_Location,Ride_Distance_km,Driver_Rating,Fare_Amount
U0082,S53613,D5237,1.0,Ride Start,2024-09-14 19:51:52,New York,San Francisco,38.16,3.9,61.52
U0083,S64247,D1967,1.2,Booking,2024-09-04 07:08:34,New York,Delhi,30.42,2.6,58.47
U0084,S94137,D2292,1.0,Ride End,2024-09-23 21:09:10,New York,Paris,9.77,2.0,57.25
U0085,S10191,D2083,1.1,Booking,2024-09-03 04:50:03,Los Angeles,Paris,13.49,2.4,86.92
U0086,S35677,D6742,1.1,Ride End,2024-09-10 21:07:11,Mumbai,Chicago,17.14,1.1,54.64
U0087,S47346,D4697,2.0,Ride End,2024-09-18 13:56:53,Mumbai,Paris,49.83,3.9,55.22
U0088,S50586,D9123,1.0,Booking,2024-09-10 09:59:56,London,Amsterdam,42.26,2.4,15.68
U0089,S60491,D3439,1.0,Cancellation,2024-09-02 02:29:17,Mumbai,Paris,10.63,3.4,31.68
U0090,S65135,D3982,1.2,Ride End,2024-09-01 07:45:39,Berlin,Amsterdam,24.28,4.8,19.32
U0091,S63548,D5600,1.1,Booking,2024-09-18 22:16:13,Los Angeles,Chicago,10.88,3.2,18.57
U0092,S31848,D7314,2.0,Payment,2024-09-09 14:35:59,Los Angeles,Paris,47.2,4.3,71.24
U0093,S88010,D7721,1.2,Booking,2024-09-02 05:37:31,Los Angeles,San Francisco,34.07,1.9,27.15
U0094,S49693,D4666,1.1,Cancellation,2024-09-20 02:39:25,London,Chicago,25.66,2.9,14.23
U0095,S29945,D8546,1.0,Ride Start,2024-09-18 06:44:12,Los Angeles,Paris,10.67,3.2,15.74
U0096,S30866,D2414,2.0,Payment,2024-09-16 13:44:17,London,Chicago,8.61,2.7,20.11
U0097,S80111,D7807,1.0,Payment,2024-09-18 13:38:09,Los Angeles,Delhi,10.54,4.7,57.22
U0098,S80999,D3848,1.1,Cancellation,2024-09-08 07:09:37,Mumbai,Chicago,24.41,4.1,59.15
U0099,S19307,D1583,2.0,Payment,2024-09-02 02:48:32,New York,Delhi,37.63,2.0,97.46
U0100,S42196,D7224,1.2,Cancellation,2024-09-20 11:02:31,Los Angeles,Chicago,46.75,1.3,11.75
